Station_ID,Station_Name,Available_Lines,Borough,Physical_Line
420,Bowling Green,4 5,M,Lexington Av
F05,Briarwood,E F,Q,Queens Blvd
D40,Brighton Beach,B Q,Bk,Broadway - Brighton
H04,Broad Channel,A S,Q,Rockaway
M23,Broad St,J Z,M,Jamaica
R05,Broadway,N W,Q,Astoria
G30,Broadway,G,Bk,Crosstown
A51,Broadway Junction,A C,Bk,8th Av - Fulton St
J27,Broadway Junction,J Z,Bk,Jamaica
L22,Broadway Junction,L,Bk,Canarsie
D21,Broadway-Lafayette St,B D F M,M,6th Av - Culver
212,Bronx Park East,2 5,Bx,Lenox - White Plains Rd
618,Brook Av,6,Bx,Pelham
640,Brooklyn Bridge-City Hall,4 5 6,M,Lexington Av
602,Buhre Av,6,Bx,Pelham
209,Burke Av,2 5,Bx,Lenox - White Plains Rd
409,Burnside Av,4,Bx,Jerome Av
L21,Bushwick Av-Aberdeen St,L,Bk,Canarsie
Q01,Canal St,N Q,M,Manhattan Bridge
R23,Canal St,R W,M,Broadway
M20,Canal St,J Z,M,Jamaica
135,Canal St,1,M,Broadway - 7Av
639,Canal St,6,M,Lexington Av
A34,Canal St,A C E,M,8th Av - Fulton St
L29,Canarsie-Rockaway Pkwy,L,Bk,Canarsie
F21,Carroll St,F G,Bk,6th Av - Culver
607,Castle Hill Av,6,Bx,Pelham
118,Cathedral Pkwy (110 St),1,M,Broadway - 7Av
A17,Cathedral Pkwy (110 St),B C,M,8th Av - Fulton St
M10,Central Av,M,Bk,Myrtle Av
A36,Chambers St,A C,M,8th Av - Fulton St
M21,Chambers St,J Z,M,Jamaica
137,Chambers St,1 2 3,M,Broadway - 7Av
J28,Chauncey St,J Z,Bk,Jamaica
133,Christopher St-Stonewall,1,M,Broadway - 7Av
F27,Church Av,F G,Bk,6th Av - Culver
244,Church Av,2 5,Bk,Nostrand
D28,Church Av,B Q,Bk,Broadway - Brighton
R24,City Hall,R W,M,Broadway
231,Clark St,2 3,Bk,Clark St
G34,Classon Av,G,Bk,Crosstown
J22,Cleveland St,J,Bk,Jamaica
S28,Clifton,SIR,SI,Staten Island
A44,Clinton-Washington Avs,C,Bk,8th Av - Fulton St
G35,Clinton-Washington Avs,G,Bk,Crosstown
D43,Coney Island-Stillwell Av,D F N Q,Bk,Sea Beach / West End / Culver / Brighton
D30,Cortelyou Rd,Q,Bk,Broadway - Brighton
R25,Cortlandt St,R W,M,Broadway
719,Court Sq,7,Q,Flushing
G22,Court Sq,G,Q,Crosstown
F09,Court Sq-23 St,E F,Q,Queens Blvd
R28,Court St,R,Bk,Broadway
J20,Crescent St,J Z,Bk,Jamaica
250,Crown Hts-Utica Av,3 4,Bk,Eastern Pky
617,Cypress Av,6,Bx,Pelham
J19,Cypress Hills,J,Bk,Jamaica
L16,DeKalb Av,L,Bk,Canarsie
R30,DeKalb Av,B Q R,Bk,Broadway - Brighton
M18,Delancey St-Essex St,J Z M,M,Jamaica
F15,Delancey St-Essex St,F,M,6th Av - Culver
F29,Ditmas Av,F,Bk,6th Av - Culver
S25,Dongan Hills,SIR,SI,Staten Island
109,Dyckman St,1,M,Broadway - 7Av
A03,Dyckman St,A,M,8th Av - Fulton St
616,E 143 St-St Mary's St,6,Bx,Pelham
615,E 149 St,6,Bx,Pelham
